date,5. volume,4. close,2. high,1. open,3. low
2014-05-15,8421300.0,13.43,13.92,11.4,11.06
2014-05-16,1867700.0,15.25,15.75,13.6,13.44
2014-05-19,1529200.0,16.5,17.94,16.0,15.99
2014-05-20,877700.0,16.95,18.17,16.75,15.67
2014-05-21,386800.0,17.19,17.33,17.2,16.3
2014-05-22,1321100.0,16.15,17.3,17.3,15.95
2014-05-23,942200.0,16.36,16.46,16.46,14.8
2014-05-27,115700.0,16.1,16.7,16.5,15.92
2014-05-28,501200.0,17.38,18.45,16.29,16.17
2014-05-29,272100.0,17.49,18.059,17.5,17.29
2014-05-30,219200.0,15.98,17.9,17.85,15.83
2014-06-02,346100.0,15.0,15.96,15.95,14.17
2014-06-03,293800.0,15.06,16.0,15.06,14.77
2014-06-04,180100.0,15.3,15.51,15.09,14.31
2014-06-05,174400.0,15.22,15.62,15.3,14.73
2014-06-06,223100.0,15.39,15.59,15.35,15.0
2014-06-09,438400.0,17.32,17.57,15.24,14.76
2014-06-10,244300.0,16.5,18.12,17.44,16.5
2014-06-11,419000.0,18.49,18.75,16.39,16.2301
2014-06-12,231600.0,17.89,18.44,18.44,17.34
2014-06-13,426200.0,16.75,18.09,18.05,16.0
2014-06-16,271600.0,17.24,18.25,16.69,16.19
2014-06-17,88600.0,17.7,18.0,17.37,17.24
2014-06-18,142600.0,17.61,18.11,17.74,17.31
2014-06-19,221900.0,18.0,18.01,17.53,17.52
2014-06-20,324900.0,17.56,18.29,18.1,16.97
2014-06-23,135300.0,17.99,18.4,17.49,17.21
2014-06-24,106300.0,17.81,18.025,17.81,17.53
2014-06-25,99800.0,17.94,18.02,17.93,17.5
2014-06-26,77100.0,17.68,18.0,17.9,17.57
2014-06-27,1136800.0,17.16,18.4,17.67,17.16
2014-06-30,284000.0,17.38,17.6,17.27,16.34
2014-07-01,152800.0,17.3,17.5,17.4,17.0
2014-07-02,193600.0,16.43,17.37,17.37,16.31
2014-07-03,88100.0,16.51,16.71,16.43,16.16
2014-07-07,235600.0,15.79,16.51,16.51,15.5
2014-07-08,202600.0,16.38,16.47,15.85,15.5445
2014-07-09,157400.0,16.05,16.48,16.48,15.71
2014-07-10,232300.0,16.08,16.34,15.81,15.5
2014-07-11,184900.0,15.94,16.079,16.05,15.65
2014-07-14,106200.0,16.48,16.59,16.04,16.04
2014-07-15,168400.0,17.06,17.19,16.51,16.33
2014-07-16,227700.0,17.15,17.39,17.01,16.82
2014-07-17,249500.0,17.14,17.74,17.16,17.05
2014-07-18,253100.0,17.64,17.77,17.14,17.14
2014-07-21,164900.0,17.32,17.88,17.62,17.19
2014-07-22,133200.0,17.26,17.88,17.33,17.0
2014-07-23,79800.0,17.4,17.64,17.36,17.2
2014-07-24,164200.0,17.49,17.74,17.4,17.262
2014-07-25,281100.0,17.05,17.69,17.35,16.8501
2014-07-28,324500.0,17.25,17.45,17.0,16.8
2014-07-29,167400.0,17.25,17.53,17.39,17.09
2014-07-30,136500.0,17.77,18.0,17.39,17.3
2014-07-31,102600.0,17.39,17.88,17.63,17.04
2014-08-01,128600.0,17.55,17.63,17.36,17.3
2014-08-04,142600.0,17.5,17.736,17.58,17.31
2014-08-05,386300.0,17.97,18.33,17.71,17.52
2014-08-06,1180700.0,19.18,20.5,19.2,18.84
2014-08-07,199600.0,19.42,19.7799,19.42,19.11
2014-08-08,277000.0,21.29,21.45,19.49,19.37
2014-08-11,331800.0,22.92,23.58,21.39,21.35
2014-08-12,200800.0,22.7,23.44,23.04,22.21
2014-08-13,127600.0,23.32,23.46,22.9,22.81
2014-08-14,237500.0,23.34,24.44,23.27,23.2265
2014-08-15,209400.0,23.98,24.01,23.33,22.6336
2014-08-18,115900.0,24.25,24.335,24.25,23.77
2014-08-19,192700.0,25.2,25.44,24.61,24.3
2014-08-20,145500.0,25.01,25.22,25.08,24.53
2014-08-21,46700.0,24.98,25.09,24.9,24.72
2014-08-22,108200.0,24.94,25.07,24.89,24.52
2014-08-25,48900.0,25.21,25.2799,24.97,24.76
2014-08-26,320000.0,26.28,27.3042,25.29,25.29
2014-08-27,142300.0,26.72,27.96,26.66,26.41
2014-08-28,116700.0,27.07,27.16,26.72,26.03
2014-08-29,150800.0,27.19,27.3,27.25,26.5301
2014-09-02,143800.0,27.74,28.05,27.68,27.33
2014-09-03,199900.0,26.98,27.8,27.71,26.85
2014-09-04,233600.0,24.89,27.3799,27.02,24.75
2014-09-05,140400.0,24.67,25.25,24.88,23.87
2014-09-08,273100.0,24.23,25.45,24.67,23.66
2014-09-09,136500.0,24.25,24.82,24.62,24.071
2014-09-10,219100.0,24.34,24.81,24.1,23.79
2014-09-11,157900.0,24.4,24.75,24.19,24.132
2014-09-12,228200.0,23.5,24.41,24.41,23.45
2014-09-15,211200.0,22.06,23.42,23.42,21.86
2014-09-16,241200.0,21.77,22.221,21.86,21.58
2014-09-17,310500.0,22.79,23.19,21.52,21.47
2014-09-18,379900.0,23.07,24.1297,22.83,22.76
2014-09-19,846400.0,22.65,23.8,23.08,22.01
2014-09-22,290251.0,21.8,22.7399,22.53,21.41
2014-09-23,116988.0,21.34,21.97,21.74,21.0605
2014-09-24,97551.0,21.75,21.9,21.32,20.829
2014-09-25,118609.0,21.77,22.22,21.76,21.45
2014-09-26,92282.0,21.9,22.15,21.79,21.55
2014-09-29,133751.0,21.89,22.59,21.57,21.57
2014-09-30,161446.0,21.59,22.07,21.96,21.1825
2014-10-01,224121.0,21.55,22.07,21.51,21.01
2014-10-02,267367.0,21.85,21.9,21.49,21.08
2014-10-03,589662.0,25.55,25.85,22.15,22.15
2014-10-06,854255.0,24.32,25.7,25.7,24.17
2014-10-07,192571.0,23.61,24.31,24.1,23.3
2014-10-08,263936.0,23.15,23.77,23.61,22.76
2014-10-09,171839.0,22.32,23.15,23.15,22.03
2014-10-10,319699.0,20.52,22.5,22.31,20.5
2014-10-13,462061.0,19.94,20.66,20.57,19.39
2014-10-14,478062.0,20.62,21.8,20.11,20.03
2014-10-15,404729.0,21.76,21.86,20.18,19.8701
2014-10-16,391690.0,22.33,22.94,21.5,21.5
2014-10-17,215354.0,22.08,22.75,22.67,21.68
2014-10-20,229676.0,21.17,22.11,21.83,21.09
2014-10-21,129603.0,21.3,21.39,21.24,20.7
2014-10-22,227987.0,20.07,21.4099,21.36,20.04
2014-10-23,264931.0,20.25,20.4,20.37,19.9
2014-10-24,281094.0,21.09,21.2,20.25,20.09
2014-10-27,196004.0,21.24,21.8,20.99,20.5
2014-10-28,228931.0,22.53,22.58,21.41,21.21
2014-10-29,172227.0,22.26,22.87,22.71,21.73
2014-10-30,459149.0,24.82,25.56,24.99,24.42
2014-10-31,1548855.0,26.0,28.2,25.34,24.62
2014-11-03,478547.0,26.4,27.34,25.89,25.6
2014-11-04,545262.0,26.71,27.37,26.3,26.225
2014-11-05,484995.0,24.96,26.98,26.66,24.46
2014-11-06,427645.0,25.22,25.4,24.82,24.32
2014-11-07,595711.0,24.65,25.95,25.29,24.22
2014-11-10,523572.0,24.23,25.51,24.5,24.03
2014-11-11,1788457.0,23.34,24.24,23.71,22.81
2014-11-12,740952.0,25.06,25.15,23.0,23.0
2014-11-13,611684.0,24.82,25.56,24.99,24.42
2014-11-14,648661.0,25.05,25.37,24.87,24.45
2014-11-17,990238.0,24.08,24.79,23.89,23.86
2014-11-18,417177.0,24.29,24.5,23.82,23.68
2014-11-19,510093.0,24.43,24.87,24.2,24.2
2014-11-20,778958.0,24.9,25.0,24.08,23.89
2014-11-21,642818.0,24.38,25.05,25.0,23.906
2014-11-24,727222.0,24.38,24.45,24.01,23.54
2014-11-25,800801.0,23.7,24.74,24.28,23.61
2014-11-26,397754.0,23.57,23.73,23.63,23.02
2014-11-28,125590.0,23.76,24.0,23.69,23.28
2014-12-01,945420.0,22.68,23.385,23.01,22.64
2014-12-02,502893.0,23.33,23.67,22.48,22.06
2014-12-03,614981.0,23.65,23.8,23.33,23.3
2014-12-04,290993.0,23.74,23.93,23.59,23.35
2014-12-05,405211.0,23.89,24.35,23.75,23.65
