date,5. volume,4. close,2. high,1. open,3. low
2011-07-20,5847200.0,35.77,60.0,60.0,32.5
2011-07-21,977900.0,33.2,39.0,38.36,33.0
2011-07-22,376800.0,34.27,35.25,33.24,33.0
2011-07-25,266300.0,35.6,35.8,34.0,34.0
2011-07-26,297000.0,36.432,36.6,36.44,34.75
2011-07-27,252600.0,33.564,36.42,36.42,33.26
2011-07-28,160100.0,33.9,34.9426,33.82,33.75
2011-07-29,166300.0,32.22,33.0,32.5,31.9
2011-08-01,128900.0,30.22,32.96,32.96,30.17
2011-08-02,330100.0,27.35,30.3001,30.3,27.11
2011-08-03,198000.0,28.475,28.62,27.82,27.3929
2011-08-04,230100.0,28.41,29.66,28.75,28.25
2011-08-05,208200.0,28.16,29.24,28.88,25.12
2011-08-08,240600.0,26.09,27.0,25.66,25.25
2011-08-09,156200.0,27.96,28.23,26.01,26.01
2011-08-10,60900.0,27.37,28.0,27.6,26.83
2011-08-11,85800.0,27.0,28.32,27.97,26.76
2011-08-12,109300.0,26.65,27.54,27.38,26.43
2011-08-15,124100.0,25.52,26.97,26.97,25.25
2011-08-16,164600.0,24.1,25.49,25.18,23.6001
2011-08-17,59500.0,24.14,24.25,24.03,23.81
2011-08-18,68100.0,23.99,24.6,23.89,23.43
2011-08-19,133300.0,24.2,24.54,23.5,23.5
2011-08-22,88500.0,23.96,24.77,24.77,23.9
2011-08-23,66600.0,24.48,24.55,24.12,23.58
2011-08-24,171200.0,26.26,26.95,24.49,24.49
2011-08-25,592600.0,30.25,34.13,27.1,27.1
2011-08-26,322500.0,31.38,32.0,31.06,28.06
2011-08-29,287300.0,33.04,33.8,32.25,31.28
2011-08-30,616100.0,35.13,36.45,33.48,32.84
2011-08-31,413700.0,37.18,37.69,36.23,35.27
2011-09-01,209600.0,36.9,37.989,37.55,36.2
2011-09-02,171400.0,34.94,36.0001,35.56,34.66
2011-09-06,140600.0,34.25,34.65,32.82,32.04
2011-09-07,126800.0,36.09,36.49,35.15,34.3585
2011-09-08,59800.0,35.72,36.119,36.0,34.66
2011-09-09,169700.0,36.93,37.1299,34.79,34.44
2011-09-12,178800.0,37.275,37.49,36.66,35.52
2011-09-13,88000.0,37.48,37.5,37.5,36.01
2011-09-14,259900.0,34.51,37.45,37.45,34.5
2011-09-15,265000.0,30.85,34.75,34.75,30.4
2011-09-16,241500.0,29.19,30.95,30.95,28.5
2011-09-19,91000.0,28.76,29.93,28.5,28.5
2011-09-20,123300.0,26.77,29.824,28.75,26.7
2011-09-21,104300.0,27.77,28.29,26.71,26.29
2011-09-22,118400.0,28.0,28.44,28.44,26.87
2011-09-23,87100.0,26.87,28.45,28.45,26.79
2011-09-26,103800.0,26.44,28.0,27.0,25.1
2011-09-27,86700.0,27.99,28.18,26.89,26.51
2011-09-28,147100.0,28.32,29.3,29.3,27.62
2011-09-29,115900.0,28.15,29.3,29.02,26.37
2011-09-30,569800.0,27.35,28.24,28.0,26.011
2011-10-03,137200.0,25.85,27.93,26.93,25.53
2011-10-04,150200.0,25.5,25.83,25.51,24.8
2011-10-05,64000.0,25.48,25.5,25.36,24.81
2011-10-06,68300.0,25.85,26.15,25.4,24.83
2011-10-07,50300.0,25.25,26.45,25.78,25.02
2011-10-10,86500.0,26.2,26.2,25.89,25.3999
2011-10-11,32300.0,26.24,26.51,25.98,25.1
2011-10-12,95100.0,25.5,26.51,26.19,25.25
2011-10-13,48300.0,25.23,25.75,25.1,25.02
2011-10-14,98600.0,27.72,27.8084,25.74,25.201
2011-10-17,71700.0,26.38,27.71,27.61,25.15
2011-10-18,129800.0,28.85,28.95,26.68,26.29
2011-10-19,95600.0,26.67,29.829,28.61,26.5
2011-10-20,42700.0,26.6,26.8,26.58,26.33
2011-10-21,68200.0,27.03,28.5,27.15,26.37
2011-10-24,162400.0,27.49,28.304,27.11,26.0
2011-10-25,64900.0,27.03,27.63,27.5,26.47
2011-10-26,103900.0,29.03,29.25,27.45,26.24
2011-10-27,126200.0,30.77,31.83,30.0,29.23
2011-10-28,57800.0,30.51,31.49,30.8,30.0
2011-10-31,19500.0,29.69,30.56,30.0,28.98
2011-11-01,119100.0,26.63,28.94,28.56,26.25
2011-11-02,95800.0,27.46,27.9,27.6,26.51
2011-11-03,564600.0,30.25,33.414,30.85,28.78
2011-11-04,135700.0,32.63,33.4792,30.06,29.8
2011-11-07,84000.0,32.52,33.0,32.83,32.05
2011-11-08,40800.0,32.35,32.95,32.9,32.0
2011-11-09,85800.0,29.34,31.46,31.38,29.27
2011-11-10,33100.0,29.98,30.89,30.01,29.56
2011-11-11,49800.0,30.07,31.09,30.14,29.79
