date,5. volume,4. close,2. high,1. open,3. low
2005-08-24,0.0,16.0,16.0,16.0,16.0
2005-08-25,0.0,16.0,16.0,16.0,16.0
2005-08-26,0.0,16.0,16.0,16.0,16.0
2005-08-29,0.0,16.0,16.0,16.0,16.0
2005-08-30,0.0,16.0,16.0,16.0,16.0
2005-08-31,0.0,16.0,16.0,16.0,16.0
2005-09-01,0.0,16.0,16.0,16.0,16.0
2005-09-02,0.0,16.0,16.0,16.0,16.0
2005-09-06,0.0,16.0,16.0,16.0,16.0
2005-09-07,0.0,16.0,16.0,16.0,16.0
2005-09-08,0.0,16.0,16.0,16.0,16.0
2005-09-09,0.0,16.0,16.0,16.0,16.0
2005-09-12,0.0,16.0,16.0,16.0,16.0
2005-09-13,0.0,16.0,16.0,16.0,16.0
2005-09-14,0.0,16.0,16.0,16.0,16.0
2005-09-15,0.0,16.0,16.0,16.0,16.0
2005-09-16,0.0,16.0,16.0,16.0,16.0
2005-09-19,0.0,16.0,16.0,16.0,16.0
2005-09-20,0.0,16.0,16.0,16.0,16.0
2005-09-21,0.0,16.0,16.0,16.0,16.0
2005-09-22,0.0,16.0,16.0,16.0,16.0
2005-09-23,0.0,16.0,16.0,16.0,16.0
2005-09-26,0.0,16.0,16.0,16.0,16.0
2005-09-27,0.0,16.0,16.0,16.0,16.0
2005-09-28,0.0,16.0,16.0,16.0,16.0
2005-09-29,0.0,16.0,16.0,16.0,16.0
2005-09-30,0.0,16.0,16.0,16.0,16.0
2005-10-03,0.0,16.0,16.0,16.0,16.0
2005-10-04,0.0,16.0,16.0,16.0,16.0
2005-10-05,0.0,16.0,16.0,16.0,16.0
2005-10-06,0.0,16.0,16.0,16.0,16.0
2005-10-07,0.0,16.0,16.0,16.0,16.0
2005-10-10,0.0,16.0,16.0,16.0,16.0
2005-10-11,0.0,16.0,16.0,16.0,16.0
2005-10-12,0.0,16.0,16.0,16.0,16.0
2005-10-13,0.0,16.0,16.0,16.0,16.0
2005-10-14,0.0,16.0,16.0,16.0,16.0
2005-10-17,0.0,16.0,16.0,16.0,16.0
2005-10-18,0.0,16.0,16.0,16.0,16.0
2005-10-19,0.0,16.0,16.0,16.0,16.0
2005-10-20,0.0,16.0,16.0,16.0,16.0
2005-10-21,0.0,16.0,16.0,16.0,16.0
2005-10-24,0.0,16.0,16.0,16.0,16.0
2005-10-25,0.0,16.0,16.0,16.0,16.0
2005-10-26,0.0,16.0,16.0,16.0,16.0
2005-10-27,0.0,16.0,16.0,16.0,16.0
2005-10-28,0.0,16.0,16.0,16.0,16.0
2005-10-31,0.0,16.0,16.0,16.0,16.0
2005-11-01,0.0,16.0,16.0,16.0,16.0
2005-11-02,0.0,16.0,16.0,16.0,16.0
2005-11-03,0.0,16.0,16.0,16.0,16.0
2005-11-04,0.0,16.0,16.0,16.0,16.0
2005-11-07,0.0,16.0,16.0,16.0,16.0
2005-11-08,0.0,16.0,16.0,16.0,16.0
2005-11-09,73.0,4.0,6.0,6.0,4.0
2005-11-10,0.0,4.0,4.0,4.0,4.0
2005-11-11,0.0,4.0,4.0,4.0,4.0
2005-11-14,0.0,4.0,4.0,4.0,4.0
2005-11-15,0.0,4.0,4.0,4.0,4.0
2005-11-16,500.0,4.5,4.5,4.5,4.5
2005-11-17,500.0,4.5,4.5,4.5,4.5
2005-11-18,0.0,4.5,4.5,4.5,4.5
2005-11-21,0.0,4.5,4.5,4.5,4.5
2005-11-22,0.0,4.5,4.5,4.5,4.5
2005-11-23,0.0,4.5,4.5,4.5,4.5
2005-11-25,0.0,4.5,4.5,4.5,4.5
2005-11-28,0.0,4.5,4.5,4.5,4.5
2005-11-29,500.0,5.0,5.0,5.0,5.0
2005-11-30,1800.0,4.6,4.8,4.6,4.0
2005-12-01,0.0,4.6,4.6,4.6,4.6
2005-12-02,0.0,4.6,4.6,4.6,4.6
2005-12-05,0.0,4.6,4.6,4.6,4.6
2005-12-06,0.0,4.6,4.6,4.6,4.6
2005-12-07,0.0,4.6,4.6,4.6,4.6
2005-12-08,0.0,4.6,4.6,4.6,4.6
2005-12-09,0.0,4.6,4.6,4.6,4.6
2005-12-12,2000.0,4.1,4.1,4.0,4.0
2005-12-13,1500.0,4.05,4.25,4.25,4.05
2005-12-14,0.0,4.05,4.05,4.05,4.05
2005-12-15,500.0,4.0,4.0,4.0,4.0
2005-12-16,1000.0,3.75,3.75,3.75,3.75
2005-12-19,1500.0,3.5,3.6,3.6,3.5
2005-12-20,0.0,3.5,3.5,3.5,3.5
2005-12-21,0.0,3.5,3.5,3.5,3.5
2005-12-22,1500.0,3.6,3.6,3.3,3.25
2005-12-23,0.0,3.6,3.6,3.6,3.6
2005-12-27,0.0,3.6,3.6,3.6,3.6
2005-12-28,3000.0,3.25,3.3,3.3,3.25
2005-12-29,0.0,3.25,3.25,3.25,3.25
2005-12-30,0.0,3.25,3.25,3.25,3.25
2006-01-03,1000.0,3.6,3.6,3.5,3.5
2006-01-04,10200.0,4.0,4.4,3.7,3.7
2006-01-05,1500.0,4.0,4.0,4.0,4.0
2006-01-06,1000.0,4.25,4.25,4.25,4.25
2006-01-09,7000.0,4.25,4.5,4.5,4.25
2006-01-10,3000.0,4.25,4.25,4.25,4.0
2006-01-11,0.0,4.25,4.25,4.25,4.25
2006-01-12,0.0,4.25,4.25,4.25,4.25
2006-01-13,0.0,4.25,4.25,4.25,4.25
2006-01-17,16400.0,4.35,4.4,4.25,4.25
2006-01-18,4400.0,4.35,4.4,4.4,4.35
2006-01-19,13500.0,4.35,4.75,4.5,4.25
2006-01-20,10500.0,4.0,4.25,4.2,4.0
2006-01-23,3300.0,4.0,4.0,4.0,4.0
2006-01-24,3000.0,4.3,4.38,4.38,4.25
2006-01-25,2000.0,4.25,4.3,4.3,4.25
2006-01-26,5500.0,4.2,4.2,4.2,4.2
2006-01-27,3700.0,4.18,4.2,4.2,4.18
2006-01-30,3300.0,4.18,4.2,4.2,4.18
2006-01-31,3000.0,4.15,4.15,4.1,4.1
2006-02-01,7900.0,4.25,4.25,4.2,4.2
2006-02-02,8500.0,4.625,4.63,4.38,4.33
2006-02-03,1000.0,4.625,4.625,4.625,4.625
2006-02-06,8600.0,4.5,4.5,4.5,4.5
2006-02-07,6600.0,4.6,4.6,4.5,4.5
2006-02-08,0.0,4.6,4.6,4.6,4.6
2006-02-09,4000.0,4.55,4.75,4.75,4.55
2006-02-10,3900.0,4.65,4.65,4.5,4.5
