date,5. volume,4. close,2. high,1. open,3. low
2017-09-20,5031495.0,27.93,30.0,24.25,23.8
2017-09-21,1334887.0,31.11,32.64,28.18,28.0
2017-09-22,759494.0,27.73,31.19,31.19,27.1
2017-09-25,364965.0,27.01,27.855,27.61,26.62
2017-09-26,394487.0,27.69,28.8,27.21,26.73
2017-09-27,352087.0,27.62,28.98,28.09,27.41
2017-09-28,231704.0,27.03,27.2,26.75,26.75
2017-09-29,374039.0,27.0,27.15,27.15,26.1
2017-10-02,149876.0,26.41,26.93,26.93,26.2
2017-10-03,156227.0,26.97,27.85,27.05,26.22
2017-10-04,157704.0,27.1,27.4,27.09,26.875
2017-10-05,115374.0,26.85,27.2,27.16,26.37
2017-10-06,139046.0,28.45,28.95,26.63,26.63
2017-10-09,249367.0,30.77,30.85,28.39,28.21
2017-10-10,350326.0,32.62,32.85,30.86,30.45
2017-10-11,324397.0,34.09,34.83,33.7,32.539
2017-10-12,313810.0,32.63,35.74,35.5,31.56
2017-10-13,120527.0,32.19,33.588,32.82,30.85
2017-10-16,177911.0,31.99,32.458,31.57,30.49
2017-10-17,141484.0,30.84,32.419,31.85,30.611
2017-10-18,271140.0,28.64,31.12,30.62,28.6
2017-10-19,275415.0,27.59,28.56,28.56,27.0
2017-10-20,203382.0,28.24,28.47,27.7,27.7
2017-10-23,193160.0,26.46,28.719,28.42,26.11
2017-10-24,295601.0,26.98,27.34,26.43,26.43
2017-10-25,157440.0,27.07,27.2,27.02,26.33
2017-10-26,119379.0,27.09,27.13,27.13,26.624
2017-10-27,240190.0,26.87,27.275,26.87,26.511
2017-10-30,249998.0,27.09,27.37,26.84,26.78
2017-10-31,92027.0,27.01,27.48,27.28,26.82
2017-11-01,77354.0,27.99,28.52,27.13,27.11
2017-11-02,150019.0,29.07,30.16,27.78,27.088
2017-11-03,120058.0,28.0,29.42,29.18,27.6
2017-11-06,43172.0,27.91,28.045,27.99,27.84
2017-11-07,73575.0,27.09,28.41,28.41,26.77
2017-11-08,108314.0,27.2,27.72,27.28,26.81
2017-11-09,82507.0,27.03,27.52,27.52,27.0
2017-11-10,20502.0,27.78,28.43,26.96,26.96
2017-11-13,39234.0,27.39,28.02,28.02,27.02
2017-11-14,80650.0,26.85,28.0,27.31,26.5
2017-11-15,184697.0,26.2,27.615,26.65,26.16
2017-11-16,140337.0,24.62,27.13,26.4,24.39
2017-11-17,76523.0,25.0,26.0,24.65,24.65
2017-11-20,37209.0,24.66,26.0,25.07,24.4
2017-11-21,162460.0,25.68,27.825,24.81,24.585
2017-11-22,85160.0,26.84,27.24,25.7,25.7
2017-11-24,17744.0,26.8,27.029,27.01,26.5
2017-11-27,87025.0,26.72,27.1899,27.0,25.8
