date,5. volume,4. close,2. high,1. open,3. low
2005-05-06,3398300.0,24.87,25.15,20.55,20.5
2005-05-09,402500.0,24.51,25.69,25.1,23.4
2005-05-10,179400.0,24.1,24.6,24.5,23.76
2005-05-11,141200.0,24.25,24.6,24.2,23.85
2005-05-12,126100.0,23.5,24.0,23.66,23.5
2005-05-13,77100.0,23.12,23.938,23.42,23.1
2005-05-16,51100.0,23.162,23.2,23.11,22.75
2005-05-17,40100.0,24.83,24.83,22.76,22.76
2005-05-18,170900.0,25.12,25.9,24.84,24.36
2005-05-19,46800.0,25.7,25.94,25.94,25.0
2005-05-20,115400.0,25.5,26.45,26.0,25.13
2005-05-23,56900.0,25.79,26.38,26.38,25.31
2005-05-24,30300.0,25.75,25.88,25.88,24.99
2005-05-25,113300.0,25.07,25.7,25.25,25.0
2005-05-26,159700.0,25.3,26.0,25.08,25.0
2005-05-27,144900.0,25.4,26.0,25.35,25.35
2005-05-31,106000.0,25.63,25.75,25.75,25.27
2005-06-01,331500.0,26.0,27.34,25.6,25.5
2005-06-02,217700.0,27.1,28.0,26.42,26.32
2005-06-03,25000.0,27.62,27.79,27.251,26.86
2005-06-06,49800.0,28.17,28.45,27.65,27.65
2005-06-07,42400.0,28.75,29.28,28.4,27.94
2005-06-08,64700.0,28.0,28.97,28.97,27.17
2005-06-09,40300.0,27.33,28.38,28.38,27.27
2005-06-10,8700.0,27.4,27.619,27.55,27.1
2005-06-13,107600.0,27.31,27.8,27.53,26.0
2005-06-14,8900.0,27.16,27.69,27.6,27.06
2005-06-15,364800.0,29.84,30.05,29.02,28.41
2005-06-16,291700.0,30.3,31.82,30.0,29.37
2005-06-17,64100.0,30.25,31.01,31.01,30.11
2005-06-20,101200.0,29.17,30.27,29.99,29.0
2005-06-21,31300.0,29.95,30.0,29.39,29.1
2005-06-22,56200.0,29.96,30.74,30.47,29.44
2005-06-23,103500.0,30.45,31.54,30.82,29.1
2005-06-24,165000.0,30.08,30.98,30.9,30.03
2005-06-27,50900.0,30.05,30.3,30.1,29.78
2005-06-28,25500.0,30.27,30.5,30.17,30.01
2005-06-29,105100.0,30.57,30.57,30.26,30.15
2005-06-30,70700.0,29.15,30.98,30.61,29.1
2005-07-01,66000.0,29.12,29.3,29.25,27.41
2005-07-05,82300.0,29.85,30.09,29.1,28.9
2005-07-06,72700.0,30.95,31.18,29.28,29.28
2005-07-07,75600.0,31.03,31.19,30.72,30.62
2005-07-08,75600.0,31.36,32.64,31.22,31.13
2005-07-11,29200.0,31.18,31.87,31.49,30.98
2005-07-12,27100.0,31.2,31.72,31.08,30.85
2005-07-13,140100.0,32.19,32.74,31.5,31.41
2005-07-14,33500.0,32.8,32.8,32.48,32.0
2005-07-15,17600.0,33.15,33.34,32.96,32.56
2005-07-18,41300.0,33.21,34.58,33.51,33.13
2005-07-19,19200.0,33.53,34.55,33.37,33.23
2005-07-20,8900.0,34.0,34.08,33.71,33.53
2005-07-21,32000.0,33.83,35.09,34.15,33.75
2005-07-22,10400.0,34.12,34.758,34.758,33.47
2005-07-25,48800.0,34.14,36.6882,34.46,33.9
2005-07-26,40300.0,33.6,35.05,34.56,32.4
2005-07-27,18900.0,33.85,35.0,33.88,33.2
2005-07-28,62500.0,34.38,34.97,34.25,33.57
2005-07-29,14000.0,34.2,35.14,34.96,33.9
2005-08-01,9400.0,34.47,35.15,34.45,34.26
2005-08-02,36900.0,33.83,34.69,34.47,33.5
2005-08-03,43800.0,34.79,35.52,33.41,32.7901
2005-08-04,12800.0,33.63,35.41,35.41,33.61
2005-08-05,32100.0,32.47,33.88,33.59,32.1
2005-08-08,20800.0,31.44,32.45,32.26,31.41
2005-08-09,18300.0,31.25,32.75,31.5,31.25
2005-08-10,14800.0,31.0,31.42,31.17,31.0
2005-08-11,78100.0,29.42,31.15,31.01,29.4
2005-08-12,151000.0,31.73,32.23,29.4,28.06
2005-08-15,53100.0,32.11,33.1,31.7,31.11
2005-08-16,39600.0,30.78,32.49,32.38,30.46
2005-08-17,213200.0,30.0,30.41,30.36,28.93
2005-08-18,387100.0,30.9,32.5,31.66,28.77
2005-08-19,102000.0,31.04,31.68,31.18,31.04
2005-08-22,25500.0,31.421,31.591,31.3,31.11
2005-08-23,20300.0,31.43,31.6,31.52,31.05
2005-08-24,21600.0,31.47,32.0,31.73,31.4
2005-08-25,68600.0,33.09,33.329,31.82,31.61
2005-08-26,135300.0,32.82,34.54,33.32,32.76
2005-08-29,17200.0,32.64,32.66,32.65,32.07
2005-08-30,56700.0,31.8,32.72,32.72,31.2
2005-08-31,34500.0,32.98,32.98,31.56,31.56
2005-09-01,119500.0,32.34,33.36,33.3,31.39
2005-09-02,22500.0,32.75,33.1,32.13,32.13
2005-09-06,81400.0,33.9,34.35,32.88,32.84
2005-09-07,70700.0,33.47,34.319,33.9,33.44
2005-09-08,194300.0,33.49,33.67,33.34,32.83
2005-09-09,24200.0,33.75,33.79,33.613,33.33
2005-09-12,24300.0,34.0,34.0,33.58,33.55
2005-09-13,52200.0,34.15,34.75,34.1,34.03
2005-09-14,47400.0,33.91,34.14,34.0,33.91
2005-09-15,73900.0,32.67,33.83,33.83,32.33
2005-09-16,166900.0,31.66,32.92,32.92,31.25
2005-09-19,111900.0,30.21,31.47,31.27,29.65
2005-09-20,129500.0,29.19,31.43,30.47,28.82
2005-09-21,59500.0,28.69,29.29,29.26,27.69
2005-09-22,50100.0,29.5,30.05,28.69,28.64
2005-09-23,55100.0,30.05,30.5,29.5,29.5
2005-09-26,99300.0,31.66,31.9,30.21,30.21
2005-09-27,80200.0,31.36,31.82,31.5,31.25
2005-09-28,114300.0,31.87,32.17,31.5,31.47
2005-09-29,56800.0,32.65,32.66,31.36,31.35
2005-09-30,58200.0,32.63,32.88,32.34,32.3
2005-10-03,46300.0,33.0,33.2,32.9,32.75
2005-10-04,55200.0,33.14,33.24,32.91,32.79
2005-10-05,92700.0,32.93,33.34,33.23,32.77
